Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CC(=O)Oc1ccccc1C(=O)O,C9H8O4,180.16,13,6,0.11,3,4,1,44.90,63.60,1.30,1.19,1.31,1.51,1.10,1.28,-1.85,2.54e+00,1.41e-02,Very soluble,-2.12,1.36e+00,7.56e-03,Soluble,-1.85,2.57e+00,1.43e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.55,0,0,0,0,1,0.85,0,1,1,1.52
Molecule 2,CC(Cc1ccc(cc1)C(C(=O)O)C)C,C13H18O2,206.28,15,6,0.46,4,2,1,62.18,37.30,2.17,3.50,3.07,3.13,3.15,3.00,-3.36,9.09e-02,4.41e-04,Soluble,-3.97,2.23e-02,1.08e-04,Soluble,-3.44,7.49e-02,3.63e-04,Soluble,High,Yes,No,No,No,No,No,No,-5.07,0,0,0,0,0,0.85,0,0,1,1.92
Molecule 3,CC(=O)Nc1ccc(cc1)O,C8H9NO2,151.16,11,6,0.12,2,2,2,42.78,49.33,1.21,0.46,1.16,0.91,0.89,0.93,-1.34,6.93e+00,4.59e-02,Very soluble,-1.06,1.30e+01,8.62e-02,Very soluble,-2.19,9.72e-01,6.43e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.90,0,1,0,0,1,0.55,0,1,1,1.00
Molecule 4,COc1ccc2c(c1)ccc(c2)[C@@H](C(=O)O)C,C14H14O3,230.26,17,10,0.21,3,3,1,66.79,46.53,1.95,3.34,3.04,2.57,2.90,2.76,-3.61,5.66e-02,2.46e-04,Soluble,-3.99,2.33e-02,1.01e-04,Soluble,-4.02,2.21e-02,9.62e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.33,0,0,0,0,0,0.85,0,0,1,1.85
Molecule 5,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,C14H11Cl2NO2,296.15,19,12,0.07,4,2,2,77.55,49.33,1.98,4.40,4.36,3.84,3.74,3.66,-4.65,6.61e-03,2.23e-05,Moderately soluble,-5.15,2.08e-03,7.03e-06,Moderately soluble,-5.97,3.20e-04,1.08e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-4.98,0,0,0,0,0,0.85,0,0,1,2.23
Molecule 6,Cn1cnc2c1c(=O)n(C)c(=O)n2C,C8H10N4O2,194.19,14,9,0.38,0,3,0,52.04,61.82,1.79,-0.07,-1.03,0.22,-0.50,0.08,-1.48,6.50e+00,3.35e-02,Very soluble,-0.78,3.25e+01,1.67e-01,Very soluble,-0.67,4.15e+01,2.14e-01,Soluble,High,No,No,No,No,No,No,No,-7.53,0,1,0,0,1,0.55,0,0,1,2.03
Molecule 7,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,C7H8N4O2,180.16,13,9,0.29,0,3,1,47.14,72.68,0.53,-0.02,-1.04,-0.52,0.12,-0.19,-1.46,6.29e+00,3.49e-02,Very soluble,-1.06,1.58e+01,8.78e-02,Very soluble,-1.10,1.42e+01,7.89e-02,Soluble,High,No,No,No,No,No,No,No,-7.41,0,1,0,0,1,0.55,0,0,1,1.87
Molecule 8,CN(C(=N)N=C(N)N)C,C4H11N5,129.16,9,0,0.50,2,2,3,36.93,91.49,0.34,-1.27,-1.24,-0.56,-1.74,-0.89,0.29,2.53e+02,1.96e+00,Highly soluble,-0.15,9.05e+01,7.00e-01,Very soluble,0.58,4.90e+02,3.79e+00,Soluble,High,No,No,No,No,No,No,No,-7.99,0,3,0,0,2,0.55,0,2,1,3.02
Molecule 9,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,C16H26O5,298.37,21,0,1.00,1,5,0,76.07,46.15,3.35,3.53,2.84,2.20,1.75,2.73,-3.85,4.24e-02,1.42e-04,Soluble,-4.18,1.96e-02,6.55e-05,Moderately soluble,-2.04,2.75e+00,9.20e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.61,0,0,0,0,0,0.55,0,1,1,6.65
Molecule 10,CCCCN(CC(c1cc(Cl)cc2c1c1ccc(cc1/C/2=C/c1ccc(cc1)Cl)Cl)O)CCCC,C30H32Cl3NO,528.94,35,18,0.33,10,2,1,152.61,23.47,5.68,8.72,8.72,6.60,9.56,7.86,-8.33,2.45e-06,4.64e-09,Poorly soluble,-9.09,4.27e-07,8.08e-10,Poorly soluble,-11.79,8.64e-10,1.63e-12,Insoluble,Low,No,Yes,No,No,No,Yes,No,-3.34,2,3,0,1,1,0.17,0,1,3,4.52
